FACILITY_ID,CWNS_ID,FLOW_2022_MGD_FINAL,FACILITY_NAME,INFRASTRUCTURE_TYPE,LATITUDE,LONGITUDE,CITY,STATE_CODE,AUTHORITY_NAME,COUNTY_NAME,HUC,WATERSHED_NAME,FACILITY_TYPE
1159112,30000044001,0.033,"DODSON, TOWN OF - WWTP",Wastewater,48.3892,-108.2556,Dodson,MT,"DODSON, TOWN OF",,,,Collection: Separate Sewers
1159221,30000180001,0.5,BIGFORK COUNTY WATER & SEWER DIS.,Wastewater,48.0638,-114.0831,Bigfork,MT,BIGFORK COUNTY SEWER DISTRICT,Flathead,17010208,Flathead Lake,Treatment Plant
1160522,28001370001,0.07,"UTICA POTW, SOUTH",Wastewater,32.109092,-90.622721,Utica,MS,"UTICA, TOWN OF",Hinds,8060203,Bayou Pierre,Treatment Plant
1164458,41000244001,0.25,RIDDLE STP,Wastewater,42.9519,-123.3566,Riddle,OR,"RIDDLE, CITY OF",,,,Treatment Plant
1165962,47000010001,0.299,Adamsville Lagoon,Wastewater,35.2252,-88.405,Adamsville,TN,"ADAMSVILLE, CITY OF",,,,Treatment Plant
1166025,47000325001,3.5,CROSSVILLE STP,Wastewater,35.9616,-85.0494,Crossville,TN,"CROSSVILLE, CITY OF",Cumberland,6010208,Emory,Treatment Plant
1166059,47000555001,3,Gatlinburg WWTP,Wastewater,35.7355,-83.5227,Gatlinburg,TN,"Gatlinburg, City of",,,,Collection: Separate Sewers
1166253,47002034001,0.65,CLAIBORNE-NEW TAZEWELL STP,Wastewater,36.4637,-83.5608,New Tazewell,TN,CLAIBORNE UTILITIES  DISTRICT,,,,Collection: Separate Sewers
1168267,22001230001,0.75,SCOTT STP,Wastewater,30.2358,-92.0913,Scott,LA,"SCOTT, TOWN OF",Lafayette,8080103,Vermilion,Collection: Separate Sewers
1168337,22003072002,0.8,VIDALIA MAIN POND,Wastewater,31.5649,-91.4614,Vidalia,LA,"VIDALIA, TOWN OF",Concordia,8040306,Bayou Cocodrie,Collection: Pump Stations
1168417,22003157001,0.35,LOCKPORT STP,Wastewater,29.6419,-90.5464,Lockport,LA,"LOCKPORT, TOWN OF",,,,Collection: Separate Sewers
1168456,22003221001,2.5,TRIUMPH-BURAS STP,Wastewater,29.3416,-89.5167,Buras,LA,PLAQUEMINES PAR GOV'T,,,,Treatment Plant
1172572,40000180001,0.35,SKIATOOK (BIRD CREEK) WWT,Wastewater,36.363,-95.9853,Skiatook,OK,"SKIATOOK, TOWN OF",,,,Treatment Plant
1172602,40000302001,0.3,WESTVILLE UA WWT,Wastewater,35.962,-94.5724,Westville,OK,Westville Utilities Authority,,,,Treatment Plant
1175232,06001079001,3.01,Ukiah WWTF,Wastewater,39.1123,-123.1892,Ukiah,CA,City of Ukiah,Mendocino,18010110,Russian,Collection: Separate Sewers
1175528,06005008001,5,HANFORD WWTF,Wastewater,36.2983,-119.6489,Hanford,CA,"HANFORD, CITY OF",Kings,18030012,Tulare-Buena Vista Lakes,Collection: Separate Sewers
1175550,06005028001,1.069,RIPON WWTF,Wastewater,37.7314,-121.1331,Ripon,CA,"RIPON, CITY OF",,,,Treatment Plant
1175742,06005261001,1.11,AVENAL WWTF,Wastewater,35.978909,-120.114727,Avenal,CA,"Avenal, City of",,,,Treatment Plant
1180986,53001660001,0.195,COULEE DAM Sewer,Wastewater,47.976,-118.9691,Coulee Dam,WA,COULEE DAM town OF,Okanogan,17020001,Franklin D. Roosevelt Lake,Collection: Separate Sewers
1182873,48001004001,0.08,Goldsmith WWTP,Wastewater,31.5857,-102.3657,Goldsmith,TX,GOLDSMITH,,,,Treatment Plant
1182918,48001117001,0.35,La Joya WWTP,Wastewater,26.2139,-98.4893,La Joya,TX,LA JOYA,Hidalgo,12110207,Central Laguna Madre,Treatment Plant
1182949,48001146001,1.51,Raymondville WWTP,Wastewater,26.489917,-97.772806,Raymondville,TX,RAYMONDVILLE,,,,Collection: Separate Sewers
1183140,48002058001,0.7,Post WWTP,Wastewater,33.601523,-96.573894,Sherman,TX,"CITY OF SHERMAN, POST OAK WWTP",,,,Treatment Plant
1192591,51000009001,1,LEBANON WWTP & Coll. System,Wastewater,36.911111,-82.040277,Lebanon,VA,Town of Lebanon,Russell,6010205,Upper Clinch,Collection: Separate Sewers
1192710,51000130001,3,GALAX SEWAGE FACILITY,Wastewater,36.6714,-80.9339,Galax,VA,Galax WWTP,Galax,5050001,Upper New,Storage Facility
1220843,36005029001,2.62,Saranac Lake (V) STP & San Sewers,Wastewater,44.347913,-74.114885,Saranac Lake,NY,"SARANAC LAKE, VILLAGE OF",Essex,2010006,Great Chazy-Saranac,Treatment Plant
1221248,36008048005,0.043,Savannah (T) WWTP,Wastewater,43.073333,-76.756389,Savannah,NY,Savannah (T),Wayne,4140201,Seneca,Treatment Plant
1221261,36008061002,0.5,Ontario (Co) Honeoye Lake SD WWTP,Wastewater,42.791,-77.5151,Honeoye,NY,HONEOYE LAKE CO SD,,,,Treatment Plant
1221355,36009031001,7,Olean (C) WWTP,Wastewater,42.069846,-78.43123,Olean,NY,OLEAN (C),Cattaraugus,5010001,Upper Allegheny,Treatment Plant
1124226,19000886001,0.43,WALFORD WWTP,Wastewater,41.8728,-91.8406,Walford,IA,"WALFORD, CITY OF",Benton,7080208,Middle Iowa,Collection: Separate Sewers
1128628,16000078001,0.065,BOVILL S/T FACILITY,Wastewater,46.8556,-116.3981,Bovill,ID,CITY OF BOVILL,,,,Collection: Combined Sewers
1128681,16000153001,0.08,FIRTH S/T FACILITY,Wastewater,43.3088,-112.1921,Firth,ID,CITY OF FIRTH,Bingham,17040206,American Falls,Collection: Separate Sewers
1128709,16000185001,2,HAYDEN AREA REGIONAL S/T FACILITY,Wastewater,47.7694,-116.8308,Hayden,ID,HAYDEN AREA REGIONAL SEWER BOARD,,,,Treatment Plant
1128740,16000219001,0.074,AHSAHKA STP,Wastewater,46.5009,-116.3198,Ahsahka,ID,AHSAHKA WATER & SEWER DISTRICT,,,,Treatment Plant
