"Facility Name","NPDES ID","City","State","CWNS","Amount of Biosolids Generated","Management Practice Type(s)","Amount of Biosolids Managed - Land Applied","Amount of Biosolids Managed - Surface Disposal","Amount of Biosolids Managed - Incinerated","Amount of Biosolids Managed - Other Management Practice","Pathogen Class(es)"
"PLUM CREEK WWTP","TX0002011","ALBANY","TX","48002138001","14.99","Other Management Practice","","","","14.99","Not Applicable"
"LIBERTYVILLE STP, VILLAGE OF","ILL029530","LIBERTYVILLE","IL","17000529001","400","Land Application","379.85","","","","Class B"
"HANFORD WWTF","CAL001076","HANFORD","CA","06005008001","676.9","Land Application","678","","","","Class A"
"JORDAN BASIN WATER RECLAMATION FACILITY","UTL025852","RIVERTON","UT","49000084001","3051","Land Application","3051","","","","Class A EQ"
"KINGSLAND MUD  WWTP","TX0066010","KINGSLAND","TX","48009025001","350","Other Management Practice","","","","350","Class A"
"CELINA WWTP","TX0023272","CELINA","TX","48004004001","43.27","Other Management Practice","","","","43.27","Class B"
"CITY OF LEONARD WWTP","TX0054208","LEONARD","TX","48005078001","54","Other Management Practice","","","","54","Class A"
"DALLAS SOUTHSIDE WWTF","TX0047848","DALLAS","TX","48004026002","24516","Surface Disposal","","24516","","","Class B"
"CENTRAL WWTF","TX0047830","DALLAS","TX","48004026001","26320","Other Management Practice","","","","26320","Class B"
"EAST TAWAKONI WWTF","TX0101303","EAST TAWAKONI","TX","48005064001","0.25","Other Management Practice","","","","0.25","Not Applicable"
"CITY OF HEMPSTEAD WWTP","TX0023809","HEMPSTEAD","TX","48007865001","67.09","Land Application, Surface Disposal","47.68","19.42","","","Class B"
"HENDERSON WWTF","TX0022454","LAMPASAS","TX","48003095001","231","Land Application","231","","","","Class B"
" IOWA PARK WWTF","TX0052922","IOWA PARK","TX","48004360001","12","Other Management Practice","","","","7.59","Not Applicable"
"CITY OF WINNSBORO WWTP","TX0054658","WINNSBORO","TX","48005105001","54.15","Other Management Practice, Land Application","46.15","","","8.15","Class B"
"CITY OF KILGORE  WWTP","TX0026557","KILGORE","TX","48005023001","226.98","Other Management Practice","","","","226.89","Class B"
"CITY OF STOCKDALE WWTP","TX0054232","STOCKDALE","TX","48008042001","0","Other Management Practice","","","","","Not Applicable"
"ORANGE COUNTY WWTF","TX0023795","VIDOR","TX","48006178005","112.8","Other Management Practice","","","","112.8","Not Applicable"
"CENTRAL REGIONAL WWTF","TX0022802","ARLINGTON","TX","48000004001","68769.43","Land Application, Other Management Practice","68140.29","","","107.33","Class A EQ"
