CWNS_NUM,FACILITY_ID,STATE,CURRENT_DESIGN_FLOW,FUTURE_DESIGN_FLOW,FACILITY_NAME,FACILITY_TYPE,CITY,LATITUDE,LONGITUDE,PRIMARY_COUNTY,SECONDARY_COUNTY,PRIMARY_WATERSHED_HUC,PRIMARY_WATERSHED_NAME,SMALL_COMMUNITY_IND,AUTHORITY,PRES_EFFLUENT_TREATMENT_LEVEL,PROJ_EFFLUENT_TREATMENT_LEVEL
30000044001,1159112,MT,0.033,0.031,"DODSON, TOWN OF - WWTP",Collection: Separate Sewers,Dodson,48.3892,-108.2556,#N/A,#N/A,#N/A,#N/A,N,"DODSON, TOWN OF",Secondary,Secondary
30000180001,1159221,MT,0.5,0.5,BIGFORK COUNTY WATER & SEWER DIS.,Treatment Plant,Bigfork,48.0638,-114.0831,Flathead,#N/A,17010208,Flathead Lake,N,BIGFORK COUNTY SEWER DISTRICT,Advanced,Advanced
28001370001,1160522,MS,0.07,0.07,"UTICA POTW, SOUTH",Treatment Plant,Utica,32.109092,-90.622721,Hinds,#N/A,08060203,Bayou Pierre,N,"UTICA, TOWN OF",Advanced,Advanced
41000189001,1164420,OR,0.03,0.03,LONG CREEK STP,Treatment Plant,Long Creek,44.7124,-119.1048,#N/A,#N/A,#N/A,#N/A,Y,"LONG CREEK, CITY OF",Secondary,Secondary
41000235001,1164450,OR,0.07,0.073,POWERS STP,Treatment Plant,Powers,42.8877,-124.07,Coos,#N/A,17100305,Coquille,Y,"POWERS, CITY OF",Secondary,Secondary
41000244001,1164458,OR,0.25,0.25,RIDDLE STP,Treatment Plant,Riddle,42.9519,-123.3566,#N/A,#N/A,#N/A,#N/A,Y,"RIDDLE, CITY OF",Secondary,Secondary
47000010001,1165962,TN,0.299,0.299,Adamsville Lagoon,Treatment Plant,Adamsville,35.2252,-88.405,#N/A,#N/A,#N/A,#N/A,N,"ADAMSVILLE, CITY OF",Secondary,Secondary
47000325001,1166025,TN,3.5,3.5,CROSSVILLE STP,Treatment Plant,Crossville,35.9616,-85.0494,Cumberland,#N/A,06010208,Emory,N,"CROSSVILLE, CITY OF",Advanced,Advanced
47000555001,1166059,TN,3,3,Gatlinburg WWTP,Collection: Separate Sewers,Gatlinburg,35.7355,-83.5227,#N/A,#N/A,#N/A,#N/A,N,"Gatlinburg, City of",Advanced,Advanced
47001360001,1166204,TN,1.5,1.5,SOUTH PITTSBURG STP,Collection: Separate Sewers,South Pittsburg,35.0028,-85.7011,Marion,#N/A,06030001,Guntersville Lake,N,"SOUTH PITTSBURG, CITY OF",Secondary,Secondary
47002034001,1166253,TN,0.65,0.65,CLAIBORNE-NEW TAZEWELL STP,Collection: Separate Sewers,New Tazewell,36.4637,-83.5608,#N/A,#N/A,#N/A,#N/A,N,CLAIBORNE UTILITIES  DISTRICT,Advanced,Advanced
22000210001,1168183,LA,0.175,0.175,CHENEYVILLE SEWAGE DISPOSAL SYSTEM,Collection: Separate Sewers,Cheneyville,30.9849,-92.2893,Rapides,#N/A,08080102,Bayou Teche,N,CHENEYVILLE TOWN OF (STP),Advanced,Advanced
22001230001,1168267,LA,0.75,0.75,SCOTT STP,Collection: Separate Sewers,Scott,30.2358,-92.0913,Lafayette,#N/A,08080103,Vermilion,Y,"SCOTT, TOWN OF",Advanced,Advanced
22003072002,1168337,LA,0.8,0.8,VIDALIA MAIN POND,Collection: Pump Stations,Vidalia,31.5649,-91.4614,Concordia,#N/A,08040306,Bayou Cocodrie,N,"VIDALIA, TOWN OF",Advanced,Advanced
22003157001,1168417,LA,0.35,0.35,LOCKPORT STP,Collection: Separate Sewers,Lockport,29.6419,-90.5464,#N/A,#N/A,#N/A,#N/A,N,"LOCKPORT, TOWN OF",Advanced,Advanced
22003221001,1168456,LA,2.5,2.5,TRIUMPH-BURAS STP,Treatment Plant,Buras,29.3416,-89.5167,#N/A,#N/A,#N/A,#N/A,N,PLAQUEMINES PAR GOV'T,Secondary,Secondary
40000009002,1172427,OK,3.5,3.5,MIAMI SOUTHEAST WWT,Collection: Separate Sewers,Miami,36.857,-94.8726,Ottawa,#N/A,11070206,Lake O' The Cherokees,N,"MIAMI, CITY OF",Advanced,Advanced
40000180001,1172572,OK,0.35,0,SKIATOOK (BIRD CREEK) WWT,Treatment Plant,Skiatook,36.363,-95.9853,#N/A,#N/A,#N/A,#N/A,Y,"SKIATOOK, TOWN OF",Secondary,0
40000302001,1172602,OK,0.3,0.3,WESTVILLE UA WWT,Treatment Plant,Westville,35.962,-94.5724,#N/A,#N/A,#N/A,#N/A,Y,Westville Utilities Authority,Advanced,Advanced
40000617001,1172790,OK,0.36,0.36,EUFAULA PWA WWT,Collection: Separate Sewers,Eufaula,35.2587,-95.5838,McIntosh,#N/A,11100302,Lower North Canadian,Y,EUFAULA PWA,Secondary,Secondary
06001079001,1175232,CA,3.01,3.01,Ukiah WWTF,Collection: Separate Sewers,Ukiah,39.1123,-123.1892,Mendocino,#N/A,18010110,Russian,N,City of Ukiah,Advanced,Advanced
06005008001,1175528,CA,5,5,HANFORD WWTF,Collection: Separate Sewers,Hanford,36.2983,-119.6489,Kings,#N/A,18030012,Tulare-Buena Vista Lakes,N,"HANFORD, CITY OF",Secondary,Secondary
06005028001,1175550,CA,1.069,2.34,RIPON WWTF,Treatment Plant,Ripon,37.7314,-121.1331,#N/A,#N/A,#N/A,#N/A,N,"RIPON, CITY OF",Secondary,Secondary
06005261001,1175742,CA,1.11,1.11,AVENAL WWTF,Treatment Plant,Avenal,35.978909,-120.114727,#N/A,#N/A,#N/A,#N/A,N,"Avenal, City of",Secondary,Secondary
