CWNS_NUM,FBI,LANDFILL,LAND_APP,MHI
01000004001,0,1,0,0
01000004002,0,1,0,0
01000006004,0,1,0,0
01000007001,0,0,1,0
01000007002,0,1,0,0
01000009001,0,1,0,0
01000009002,0,1,0,0
01000010001,0,1,0,0
01000013001,0,1,0,0
01000014001,0,1,0,0
01000014002,0,1,0,0
01000016001,0,1,0,0
01000017001,0,1,0,0
01000021001,0,1,0,0
01000027001,0,1,0,0
01000040001,0,1,0,0
01000041001,0,1,0,0
01000043001,0,1,0,0
01000045001,0,0,1,0
01000046001,0,1,0,0
01000048001,0,1,0,0
01000049001,0,0,0,1
01000049002,0,1,0,0
01000049005,0,1,0,0
01000050001,0,1,0,0
01000054002,0,1,0,0
01000057001,0,0,1,0
01000058001,0,1,0,0
01000061001,0,0,1,0
01000062001,0,1,0,0
01000065001,0,1,0,0
01000067001,0,1,0,0
01000067002,0,1,0,0
01000071001,0,1,0,0
01000074001,0,1,0,0
01000079001,0,1,0,0
01000085002,0,1,0,0
01000085003,0,1,0,0
01000085005,0,1,0,0
01000088001,0,1,0,0
01000089001,0,1,0,0
01000093001,0,1,0,0
01000094001,0,1,0,0
01000108001,0,0,1,0
01000108002,0,0,1,0
01000108003,0,0,1,0
01000109001,0,1,0,0
01000110001,0,0,1,0
01000110002,0,0,1,0
01000110003,0,0,1,0
01000127002,0,1,0,0
01000130001,0,0,1,0
01000131005,0,1,0,0
01000135001,0,1,0,0
01000139001,0,1,0,0
01000139003,0,1,0,0
01000140001,0,0,1,0
01000140002,0,1,0,0
01000143001,0,1,0,0
01000150001,0,1,0,0
01000153001,0,1,0,0
01000154001,0,1,0,0
01000164001,0,1,0,0
01000165002,0,1,0,0
01000165003,0,0,1,0
01000168003,0,0,1,0
01000168004,0,1,0,0
01000176001,0,1,0,0
01000177001,0,1,0,0
01000178007,0,1,0,0
01000196001,0,0,1,0
01000197004,0,0,1,0
01000197007,0,0,1,0
01000197011,0,1,0,0
01000198001,0,1,0,0
01000201001,0,1,0,0
01000203001,0,1,0,0
01000205001,0,0,1,0
01000211001,0,1,0,0
01000213001,0,0,1,0
01000230001,0,1,0,0
01000241002,0,1,0,0
01000255002,0,1,0,0
01000262001,0,1,0,0
01000267002,0,1,0,0
01000276002,0,1,0,0
01000285001,0,1,0,0
01000286001,0,1,0,0
01000298001,0,1,0,0
01000299001,0,1,0,0
01000303001,0,1,0,0
01000304001,0,1,0,0
01000305001,0,1,0,0
01000319001,0,1,0,0
01000326001,0,1,0,0
01000330001,0,1,0,0
01000349001,0,1,0,0
01000350001,0,1,0,0
01000358001,0,1,0,0
01000361001,0,1,0,0
01000364001,0,1,0,0
01000372001,0,1,0,0
01000380002,0,0,1,0
01000383002,0,1,0,0
01000391001,0,1,0,0
01000397001,0,1,0,0
01000412001,0,1,0,0
01000414001,0,1,0,0
01000421001,0,0,1,0
01200100001,0,0,1,0
01200100002,0,0,1,0
01200100003,0,0,1,0
01200100028,0,0,1,0
02000102002,0,1,0,0
02000102003,0,1,0,0
02000105001,0,0,1,0
02000106001,1,0,0,0
02000106002,0,0,1,0
02000106003,0,0,0,1
02000107001,0,0,0,1
02000108001,0,0,0,1
02000109001,0,1,0,0
02000111001,0,1,0,0
02000115001,0,0,1,0
02000118001,0,1,0,0
02000120001,0,1,0,0
02000122001,0,0,0,1
02000125001,0,1,0,0
02000279001,0,1,0,0
02000299001,0,1,0,0
02000300001,0,1,0,0
02000331001,0,1,0,0
02000345001,0,1,0,0
02000390001,0,1,0,0
02000408001,0,1,0,0
02000416001,0,1,0,0
02000418001,0,1,0,0
04000008007,0,1,0,0
04000105001,0,0,1,0
04000304001,0,1,0,0
04000313001,0,1,0,0
04000506001,0,1,0,0
04000701001,0,1,0,0
04000703001,0,1,0,0
04000707001,0,1,0,0
04000711001,0,1,0,0
04001101001,0,1,0,0
04001302001,0,1,0,0
04001315005,0,0,1,0
04001318001,0,1,0,0
04001328001,0,1,0,0
04001334001,0,0,1,0
04001340001,0,1,0,0
04001341001,0,0,1,0
04001341003,0,0,1,0
04001343001,0,1,0,0
04001343002,0,1,0,0
04001343003,0,1,0,0
04001344001,0,1,0,0
04001349101,0,1,0,0
04001503002,0,1,0,0
04001505001,0,1,0,0
04001505002,0,1,0,0
04001704001,0,1,0,0
04001711001,0,1,0,0
04001715001,0,1,0,0
04001717001,0,1,0,0
04001903001,0,0,1,0
04002101001,0,1,0,0
04002101010,0,1,0,0
04002115001,0,1,0,0
04002302001,0,1,0,0
04002502001,0,1,0,0
04002508001,0,1,0,0
04002509001,0,1,0,0
04002511002,0,1,0,0
04002511003,0,1,0,0
04002512001,0,1,0,0
04002701002,0,1,0,0
04002701004,0,1,0,0
04002703002,0,1,0,0
04002709001,0,0,1,0
04002709002,0,0,1,0
04002710001,0,1,0,0
05000001001,0,1,0,0
05000001008,0,0,0,1
05000003002,1,0,0,0
05000004003,0,1,0,0
05000005001,0,0,1,0
05000006001,0,0,1,0
05000006002,0,0,1,0
05000007001,0,1,0,0
05000008001,0,1,0,0
05000008003,0,1,0,0
05000010005,0,1,0,0
05000012001,0,1,0,0
05000014001,0,0,0,1
05000015001,0,1,0,0
05000016001,0,1,0,0
05000017001,0,1,0,0
05000018002,0,1,0,0
05000019001,0,0,1,0
05000021002,0,0,1,0
05000022001,0,1,0,0
05000023003,0,1,0,0
05000024001,0,0,1,0
05000030001,0,1,0,0
05000086001,0,1,0,0
05000094001,0,1,0,0
05000097001,0,1,0,0
05000103001,0,1,0,0
05000104001,0,1,0,0
05000109001,0,1,0,0
05000115001,0,0,1,0
05000121001,0,0,1,0
05000123001,0,1,0,0
05000124001,0,0,1,0
05000128001,0,1,0,0
05000166001,0,1,0,0
05000184001,0,1,0,0
05000195001,0,1,0,0
05000223001,0,1,0,0
05000226001,0,1,0,0
05000282003,0,1,0,0
05000282004,0,1,0,0
05000301001,0,1,0,0
05000303001,0,1,0,0
05000304001,0,0,1,0
05000306001,0,1,0,0
05000312001,0,0,1,0
05000316001,0,1,0,0
05000317001,0,1,0,0
05000321001,0,1,0,0
05000322001,0,1,0,0
05000323001,0,1,0,0
05000326001,0,1,0,0
05000331001,0,1,0,0
05000336001,0,0,1,0
05000349001,0,0,1,0
05000357001,0,1,0,0
05000359002,0,1,0,0
05000363001,0,1,0,0
05000421001,0,1,0,0
05000434001,0,1,0,0
05000453001,0,1,0,0
05000465001,0,1,0,0
05000500002,0,1,0,0
05000502001,0,1,0,0
