2022_FLOW_CAT_MGD,EPA_REGION,Most Common TT (OVERALL)
100 AND ABOVE,1,G1
100 AND ABOVE,2,B1/F1
100 AND ABOVE,3,B1
100 AND ABOVE,4,O1
100 AND ABOVE,5,F1
100 AND ABOVE,6,F1
100 AND ABOVE,7,B6/D1/D6
100 AND ABOVE,8,O1
100 AND ABOVE,9,B1/O1
100 AND ABOVE,10,G1
16 TO 46,1,B6
16 TO 46,2,B1
16 TO 46,3,G1
16 TO 46,4,B1
16 TO 46,5,F1
16 TO 46,6,C2
16 TO 46,7,B1
16 TO 46,8,D1
16 TO 46,9,B1
16 TO 46,10,B1
2 TO 4,1,B1
2 TO 4,2,B1
2 TO 4,3,C2
2 TO 4,4,C2
2 TO 4,5,D1
2 TO 4,6,C2
2 TO 4,7,C2
2 TO 4,8,LAGOON_AER
2 TO 4,9,LAGOON_AER/STBL_POND
2 TO 4,10,LAGOON_AER
4 TO 7,1,B1
4 TO 7,2,B1
4 TO 7,3,D1
4 TO 7,4,D1
4 TO 7,5,F1
4 TO 7,6,C2
4 TO 7,7,D1
4 TO 7,8,C2
4 TO 7,9,STBL_POND
4 TO 7,10,B1
46 TO 100,1,B1/B5/B6/G5/G6/I1/I6
46 TO 100,2,B1
46 TO 100,3,H1
46 TO 100,4,B1
46 TO 100,5,F1
46 TO 100,6,F1
46 TO 100,7,D1
46 TO 100,8,D1
46 TO 100,9,B1
46 TO 100,10,G1
7 TO 16,1,B1
7 TO 16,2,D1
7 TO 16,3,B1
7 TO 16,4,B2
7 TO 16,5,F1
7 TO 16,6,C2
7 TO 16,7,B1
7 TO 16,8,D1
7 TO 16,9,B1
7 TO 16,10,B1
LESS THAN 2,1,LAGOON_AER
LESS THAN 2,2,C2
LESS THAN 2,3,C2
LESS THAN 2,4,C2
LESS THAN 2,5,STBL_POND
LESS THAN 2,6,C2
LESS THAN 2,7,STBL_POND
LESS THAN 2,8,LAGOON_FAC
LESS THAN 2,9,STBL_POND
LESS THAN 2,10,STBL_POND
